"longitude","latitude"
36.9275,84.5987
37.6501,84.8129
38.4349,85.0263
181.565,85.0263
182.3499,84.8129
183.0725,84.5987
183.7398,84.3837
184.3578,84.1681
184.9315,83.9519
185.4655,83.7351
185.9638,83.5179
186.4296,83.3003
186.866,83.0823
187.2757,82.864
187.6609,82.6454
188.0239,82.4266
188.3664,82.2075
188.6901,81.9882
188.9965,81.7687
189.2869,81.5491
189.5625,81.3293
189.8245,81.1094
190.0738,80.8894
190.3112,80.6692
190.5377,80.449
190.7539,80.2288
190.9605,80.0085
191.1582,79.7881
191.3475,79.5677
191.5289,79.3472
191.7029,79.1267
191.8699,78.9062
192.0304,78.6858
192.1847,78.4653
192.3332,78.2448
192.4762,78.0243
192.614,77.8038
192.7468,77.5834
192.875,77.363
192.9987,77.1426
193.1183,76.9223
193.2338,76.702
193.3456,76.4817
193.4537,76.2615
193.5584,76.0414
193.6598,75.8213
193.7581,75.6013
193.8534,75.3813
193.9458,75.1615
194.0355,74.9417
194.1226,74.7219
194.2072,74.5023
194.2894,74.2827
194.3693,74.0632
194.447,73.8438
194.5226,73.6245
194.5962,73.4053
194.6678,73.1861
194.7376,72.9671
194.8056,72.7482
194.8718,72.5294
194.9364,72.3107
194.9994,72.0921
195.0608,71.8736
195.1207,71.6552
195.1792,71.4369
195.2363,71.2188
195.2921,71.0007
195.3466,70.7828
195.3999,70.5651
195.452,70.3474
195.5029,70.1299
195.5526,69.9125
195.6013,69.6952
195.6489,69.4781
195.6955,69.2611
195.7411,69.0442
195.7858,68.8275
195.9958,67.746
196.0353,67.5301
196.0741,67.3144
196.1121,67.0989
196.1494,66.8835
196.1859,66.6683
196.2218,66.4532
196.257,66.2383
196.2916,66.0235
196.5467,64.3114
196.5761,64.0981
196.6051,63.8851
196.6335,63.6722
196.6615,63.4595
196.6891,63.2469
197.075,59.872
197.0962,59.6627
197.117,59.4537
197.1376,59.2448
197.1579,59.0361
197.1778,58.8277
197.1975,58.6195
197.217,58.4114
197.2361,58.2036
23.9794,64.5109
24.0142,64.7243
24.0496,64.938
24.0856,65.1518
24.1223,65.3657
24.1596,65.5798
24.1977,65.7941
25.1364,70.1116
25.1944,70.3289
25.2538,70.5463
25.3145,70.7639
25.3767,70.9815
25.5055,71.4172
25.5722,71.6352
25.6405,71.8534
25.7106,72.0716
25.7824,72.2899
25.856,72.5084
25.9315,72.7269
26.009,72.9455
26.0885,73.1643
26.1702,73.3831
26.254,73.602
26.3402,73.821
26.4287,74.04
26.5198,74.2592
26.6135,74.4784
26.7098,74.6977
26.809,74.9171
26.9112,75.1365
27.0165,75.356
27.125,75.5755
27.2369,75.7952
27.3524,76.0148
27.4716,76.2345
27.5946,76.4542
27.7218,76.674
27.8533,76.8938
27.9893,77.1137
28.1301,77.3335
28.2759,77.5534
28.427,77.7733
28.5836,77.9931
28.7462,78.213
28.9149,78.4329
29.0903,78.6527
29.2726,78.8726
29.4623,79.0923
29.6599,79.3121
29.8658,79.5318
30.0806,79.7514
30.3048,79.971
30.5392,80.1904
30.7843,80.4098
31.0409,80.6291
31.3099,80.8482
31.5922,81.0672
31.8887,81.286
32.2005,81.5046
32.5288,81.7231
32.875,81.9413
33.2405,82.1593
33.627,82.377
34.0362,82.5943
34.4703,82.8114
34.9314,83.028
35.4222,83.2442
35.9454,83.46
36.5044,83.6751
37.1027,83.8897
37.7447,84.1037
38.4349,84.3168
39.179,84.5292
39.9831,84.7405
40.8545,84.9508
179.1455,84.9508
180.0169,84.7405
180.821,84.5292
181.565,84.3168
182.2553,84.1037
182.8973,83.8897
183.4956,83.6751
184.0546,83.46
184.5778,83.2442
185.0686,83.028
185.5297,82.8114
185.9638,82.5943
186.373,82.377
186.7595,82.1593
187.125,81.9413
187.4712,81.7231
187.7995,81.5046
188.1113,81.286
188.4078,81.0672
188.6901,80.8482
188.9591,80.6291
189.2157,80.4098
189.4608,80.1904
189.6952,79.971
189.9194,79.7514
190.1342,79.5318
190.3401,79.3121
190.5377,79.0923
190.7274,78.8726
190.9097,78.6527
191.0851,78.4329
191.2538,78.213
191.4164,77.9931
191.573,77.7733
191.7241,77.5534
191.8699,77.3335
192.0107,77.1137
192.1467,76.8938
192.2782,76.674
192.4054,76.4542
192.5284,76.2345
192.6476,76.0148
192.7631,75.7952
192.875,75.5755
192.9835,75.356
193.0888,75.1365
193.1909,74.9171
193.2902,74.6977
193.3865,74.4784
193.4802,74.2592
193.5713,74.04
193.6598,73.821
193.746,73.602
193.8298,73.3831
193.9115,73.1643
193.991,72.9455
194.0685,72.7269
194.144,72.5084
194.2176,72.2899
194.2894,72.0716
194.3595,71.8534
194.4278,71.6352
194.4945,71.4172
194.5597,71.1993
194.6233,70.9815
